id;disaster_type;disaster_subtype;event_name;country;subregion;location;origin;magnitude;magnitude_scale;latitude;longitude;start_year;start_month;start_day;end_year;end_month;end_day;total_deaths;total_injured;total_homeless;total_affected;total_damage;summary;quote;sound_url;image_url
1971-0022-PNG;Mass movement (wet);Landslide (wet);;Papua New Guinea;Melanesia;Telefumin;;;;;;1971;3;21;1971;3;21;100;;;;;On March 21, 1971, mass movement (wet) occurred in Telefumin, Papua New Guinea, within the Melanesia subregion. It resulted in 100 deaths.;;;
1972-0016-VUT;Storm;Tropical cyclone;Carlotta;Vanuatu;Melanesia;Efate, Anatom;;;Kph;;;1972;1;18;1972;1;18;;;;;;On January 18, 1972, storm occurred in Efate, Anatom, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1972-0019-VUT;Storm;Tropical cyclone;Wendy;Vanuatu;Melanesia;Banks, Santo;;;Kph;;;1972;2;2;1972;2;2;4;;;;;On February 2, 1972, storm occurred in Banks, Santo, Vanuatu, within the Melanesia subregion. It resulted in 4 deaths.;;;
1972-0028-VUT;Storm;Tropical cyclone;Gail;Vanuatu;Melanesia;Efate, Shepherds;;;Kph;;;1972;4;17;1972;4;17;;;;;;On April 17, 1972, storm occurred in Efate, Shepherds, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1972-0030-PNG;Storm;Tropical cyclone;Hannah;Papua New Guinea;Melanesia;New Britain, North province;;;Kph;;;1972;5;;1972;5;;;;;;;On 1972, storm occurred in New Britain, North province, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1972-0036-NCL;Storm;Tropical cyclone;;New Caledonia;Melanesia;Noumea, Poindimie;;;Kph;;;1972;6;2;1972;6;2;3;;;;;On June 2, 1972, storm occurred in Noumea, Poindimie, New Caledonia, within the Melanesia subregion. It resulted in 3 deaths.;;;
1972-0056-KIR;Storm;Tropical cyclone;Bebe;Kiribati;Micronesia;Tarawa & Funafuti;;;Kph;;;1972;10;21;1972;10;21;3;;;700;;On October 21, 1972, storm occurred in Tarawa & Funafuti, Kiribati, within the Micronesia subregion. It resulted in 3 deaths.;;;
1972-0057-TUV;Storm;Tropical cyclone;Bebe;Tuvalu;Polynesia;Funafuti;;;Kph;;;1972;10;21;1972;10;21;6;;;700;;On October 21, 1972, storm occurred in Funafuti, Tuvalu, within the Polynesia subregion. It resulted in 6 deaths.;;;
1972-0059-FJI;Storm;Tropical cyclone;Bebe;Fiji;Melanesia;Much of nation;;;Kph;;;1972;10;24;1972;10;24;3;;;120000;168784;On October 24, 1972, storm occurred in Much of nation, Fiji, within the Melanesia subregion. It resulted in 3 deaths.;;;
1973-0021-FJI;Storm;Tropical cyclone;Juliette;Fiji;Melanesia;Savusavu, Bua;;;Kph;;;1973;4;3;1973;4;3;;;;1150;;On April 3, 1973, storm occurred in Savusavu, Bua, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1973-0052-FJI;Storm;Tropical cyclone;Lottie;Fiji;Melanesia;Kadavu, South Lau group;;;Kph;;;1973;12;9;1973;12;9;59;;;5000;;On December 9, 1973, storm occurred in Kadavu, South Lau group, Fiji, within the Melanesia subregion. It resulted in 59 deaths.;;;
1973-0080-TON;Storm;Tropical cyclone;Juliette;Tonga;Polynesia;Ha'api Isl Group;;;Kph;;;1973;4;12;1973;4;12;3;;200;900;3533;On April 12, 1973, storm occurred in Ha'api Isl Group, Tonga, within the Polynesia subregion. It resulted in 3 deaths, and 200 people left homeless.;;;
1975-0015-FJI;Storm;Tropical cyclone;Val;Fiji;Melanesia;Lau group;;;Kph;;;1975;1;30;1975;1;30;;;;23000;5829;On January 30, 1975, storm occurred in Lau group, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1975-0021-VUT;Storm;Storm (General);Alison;Vanuatu;Melanesia;Tongoa, Emae;;;Kph;;;1975;3;5;1975;3;5;;;;;;On March 5, 1975, storm occurred in Tongoa, Emae, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1975-0022-NCL;Storm;Tropical cyclone;Alison;New Caledonia;Melanesia;;;;Kph;;;1975;3;7;1975;3;7;;;;;;On March 7, 1975, storm occurred in an unspecified location, New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1975-0043-SLB;Earthquake;Tsunami;;Solomon Islands;Melanesia;Torkina;;7.7;Moment Magnitude;-7.104;155.152;1975;7;21;1975;7;21;200;;;;;On July 21, 1975, a magnitude 7.7 Moment Magnitude earthquake occurred in Torkina, Solomon Islands, within the Melanesia subregion. It resulted in 200 deaths.;;;
1976-0022-NCL;Storm;Tropical cyclone;David;New Caledonia;Melanesia;Ouvea, Grande Terre;;;Kph;;;1976;1;16;1976;1;16;;;;;;On January 16, 1976, storm occurred in Ouvea, Grande Terre, New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1977-0039-VUT;Storm;Tropical cyclone;June;Vanuatu;Melanesia;Efate;;;Kph;;;1977;1;20;1977;1;20;;;;;;On January 20, 1977, storm occurred in Efate, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1977-0059-SLB;Earthquake;Ground movement;;Solomon Islands;Melanesia;Guadalcanal, Honiara;;6.7;Moment Magnitude;-9.828;160.323;1977;4;21;1977;4;21;34;1;;1001;;On April 21, 1977, a magnitude 6.7 Moment Magnitude earthquake occurred in Guadalcanal, Honiara, Solomon Islands, within the Melanesia subregion. It resulted in 34 deaths, and 1 injuries.;;;
1977-0078-TON;Earthquake;Ground movement;;Tonga;Polynesia;Tongatapu;;6.8;Moment Magnitude;-22.878;-175.9;1977;6;23;1977;6;23;1;5;500;5505;6211;On June 23, 1977, a magnitude 6.8 Moment Magnitude earthquake occurred in Tongatapu, Tonga, within the Polynesia subregion. It resulted in 1 deaths, and 5 injuries, and 500 people left homeless.;;;
1977-0113-KIR;Epidemic;Bacterial disease;Cholera;Kiribati;Micronesia;;;;;;;1977;9;;1977;9;;17;;;352;;On 1977, epidemic occurred in an unspecified location, Kiribati, within the Micronesia subregion. It resulted in 17 deaths.;;;
1977-0143-TON;Storm;Tropical cyclone;Ernie;Tonga;Polynesia;Ha'Apai Isl.;;;Kph;;;1977;12;27;1977;12;27;;5;;10005;5693;On December 27, 1977, storm occurred in Ha'Apai Isl., Tonga, within the Polynesia subregion. It resulted in 5 injuries.;;;
1978-0032-FJI;Storm;Tropical cyclone;Bob;Fiji;Melanesia;;;;Kph;;;1978;2;4;1978;2;4;;;;;;On February 4, 1978, storm occurred in an unspecified location, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1979-0016-VUT;Storm;Tropical cyclone;Gordon;Vanuatu;Melanesia;Western Islands;;;Kph;;;1979;1;6;1979;1;6;;;;;;On January 6, 1979, storm occurred in Western Islands, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1979-0026-SLB;Storm;Tropical cyclone;Kerry;Solomon Islands;Melanesia;East, South Isl.;;;Kph;;;1979;2;18;1979;2;18;2;;;6000;;On February 18, 1979, storm occurred in East, South Isl., Solomon Islands, within the Melanesia subregion. It resulted in 2 deaths.;;;
1979-0033-FJI;Storm;Tropical cyclone;Meli;Fiji;Melanesia;East, South Islands + Lau group;;;Kph;;;1979;3;27;1979;3;27;53;300;15000;35900;;On March 27, 1979, storm occurred in East, South Islands + Lau group, Fiji, within the Melanesia subregion. It resulted in 53 deaths, and 300 injuries, and 15000 people left homeless.;;;
1979-0261-PNG;Mass movement (wet);Landslide (wet);;Papua New Guinea;Melanesia;Highlands;;;;;;1979;11;18;1979;11;18;13;;;;;On November 18, 1979, mass movement (wet) occurred in Highlands, Papua New Guinea, within the Melanesia subregion. It resulted in 13 deaths.;;;
1980-0036-FJI;Storm;Tropical cyclone;Wally;Fiji;Melanesia;Vanua Levu, Viti Levu;;;Kph;;;1980;3;24;1980;3;24;18;250;7000;35250;8588;On March 24, 1980, storm occurred in Vanua Levu, Viti Levu, Fiji, within the Melanesia subregion. It resulted in 18 deaths, and 250 injuries, and 7000 people left homeless.;;;
